regime,settlement_period,imbalance_price,abs_niv,temp_c,wind_pct,solar_wm2,hour
mild,7,71.17531612014704,198.60145308769773,10.175459459459459,31.810326086956525,0.0,3.0
mild,8,68.59260549451317,198.68809860898887,10.175459459459459,31.757608695652173,0.0,3.5
mild,9,75.86686356287386,197.7234060409713,9.95708108108108,31.551086956521736,0.0,4.0
mild,10,72.14586220983716,208.8608722250086,9.95708108108108,31.22826086956522,0.0,4.5
mild,11,77.11448242697959,213.1736322562146,9.788216216216217,30.664130434782606,0.24000000000000002,5.0
mild,12,79.08107498512605,205.72169979736142,9.788216216216217,29.854891304347827,0.24000000000000002,5.5
mild,13,82.38519118359885,200.2528213013578,9.991351351351351,28.78641304347826,17.474594594594596,6.0
mild,14,97.13086500357889,228.14453889963755,9.991351351351351,27.580978260869564,17.474594594594596,6.5
mild,15,91.00867072901895,236.54335482302508,10.662162162162161,26.68423913043478,74.87567567567568,7.0
mild,16,99.88318403091726,229.80848462444902,10.662162162162161,25.695652173913043,74.87567567567568,7.5
mild,17,91.58282501975712,230.6905149195457,11.556216216216217,25.016304347826086,166.34486486486486,8.0
mild,18,97.53253999739536,215.24036249897787,11.556216216216217,24.419565217391302,166.34486486486486,8.5
mild,19,98.6819253609644,226.04609287041188,12.460864864864867,24.002173913043475,261.29945945945946,9.0
mild,20,93.00259391349256,246.62923072556634,12.460864864864867,23.696195652173916,261.29945945945946,9.5
mild,21,94.93059381263488,254.7639253407947,13.28010810810811,23.599456521739132,348.0162162162162,10.0
mild,22,92.53335052604226,249.05846729401108,13.28010810810811,23.511413043478264,348.0162162162162,10.5
mild,23,99.08639778697719,263.57767107030014,13.993621621621623,23.32,411.8183783783783,11.0
mild,24,93.8368070841494,253.23940467966744,13.993621621621623,23.292972972972972,411.8183783783783,11.5
mild,25,94.55263963635542,251.68456617361815,14.64,23.345405405405405,461.37729729729733,12.0
mild,26,86.06259209241614,232.07228021702977,14.64,23.64756756756757,461.37729729729733,12.5
mild,27,85.5369329796706,230.4684707587624,14.78735135135135,24.015135135135136,489.10594594594596,13.0
mild,28,75.60491435909674,248.1135271932268,14.78735135135135,24.343243243243244,489.10594594594596,13.5
mild,29,75.99134997379188,255.3341607530708,15.031567567567569,24.563783783783784,472.99027027027023,14.0
mild,30,70.7828104135763,264.67466735423403,15.031567567567569,24.967027027027026,472.99027027027023,14.5
mild,31,74.14070028249314,245.8111091669577,15.202702702702704,25.183783783783785,451.9416216216216,15.0
mild,32,75.74420496848336,242.5776732700836,15.202702702702704,25.32,451.9416216216216,15.5
mild,33,80.65988059727908,241.8690734809236,15.262594594594594,25.232972972972973,408.3924324324325,16.0
mild,34,89.89654311041579,227.24220321519044,15.262594594594594,25.133513513513513,408.3924324324325,16.5
mild,35,95.96089131662951,250.31239748340226,15.135567567567568,24.90594594594595,354.5178378378379,17.0
mild,36,100.42358763200554,230.6594793124,15.135567567567568,24.78702702702703,354.5178378378379,17.5
mild,37,109.39535849987179,217.14986164244013,14.838486486486486,24.691891891891892,281.54594594594596,18.0
mild,38,109.15479968136603,216.19205600399968,14.838486486486486,24.71945945945946,281.54594594594596,18.5
mild,39,115.91460840839284,217.8719301112277,14.300432432432432,24.703243243243246,189.25945945945946,19.0
mild,40,110.94340622147374,212.62033232275056,14.300432432432432,24.76054054054054,189.25945945945946,19.5
mild,41,115.04708075323599,214.15122627895278,13.550702702702702,24.735675675675676,105.77513513513514,20.0
mild,42,116.72006928881318,214.71360378012204,13.550702702702702,24.814594594594595,105.77513513513514,20.5
mild,43,113.95598689570002,226.14787793428232,12.563567567567569,25.081621621621622,37.29837837837838,21.0
mild,44,102.72648086868509,222.784442012266,12.563567567567569,25.599459459459457,37.29837837837838,21.5
mild,45,102.78789110267549,224.60881133780146,11.71372972972973,26.511891891891892,3.3535135135135135,22.0
mild,46,90.00172406334477,197.0982864930059,11.71372972972973,27.93945945945946,3.3535135135135135,22.5
mild,47,95.54619081401704,208.3907198606873,11.132864864864864,29.07135135135135,0.0,23.0
mild,48,89.91316712995221,214.28199246137865,11.132864864864864,29.845945945945946,0.0,23.5
